,Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
8618,Neo M4 Relic,Rare (9.09%)
8619,Aya,Rare (9.09%)
8620,Rotation B,Rotation B
8621,Neo S17 Relic,Uncommon (12.50%)
8622,Neo L2 Relic,Uncommon (12.50%)
8623,Neo K5 Relic,Uncommon (12.50%)
8624,Neo N22 Relic,Uncommon (12.50%)
8625,Neo C3 Relic,Uncommon (12.50%)
8626,Neo C2 Relic,Uncommon (12.50%)
8627,Neo M4 Relic,Uncommon (12.50%)
8628,Aya,Uncommon (12.50%)
8629,Rotation C,Rotation C
8630,Axi H6 Relic,Uncommon (10.84%)
8631,Axi H6 Relic,Legendary (0.29%)
8632,Axi A16 Relic,Uncommon (10.84%)
8633,Axi A16 Relic,Legendary (0.29%)
8634,Axi G10 Relic,Uncommon (10.84%)
8635,Axi G10 Relic,Legendary (0.29%)
8636,Axi B6 Relic,Uncommon (10.84%)
8637,Axi B6 Relic,Legendary (0.29%)
8638,Axi K11 Relic,Uncommon (10.84%)
8639,Axi K11 Relic,Legendary (0.29%)
8640,Axi N10 Relic,Uncommon (10.84%)
8641,Axi N10 Relic,Legendary (0.29%)
8642,Axi T10 Relic,Uncommon (10.84%)
8643,Axi T10 Relic,Legendary (0.29%)
8644,Aya,Uncommon (22.11%)
8645,,
8646,Event: Phobos/Limtoc (Capture),Event: Phobos/Limtoc (Capture)
8647,Vitality,Uncommon (10.84%)
8648,Fast Deflection,Uncommon (10.84%)
8649,Rush,Uncommon (11.06%)
8650,Magazine Warp,Uncommon (10.84%)
8651,Trick Mag,Uncommon (10.84%)
8652,Pressure Point,Legendary (0.34%)
8653,Ammo Drum,Uncommon (11.06%)
8654,Fast Hands,Uncommon (10.84%)
8655,Quickdraw,Uncommon (10.84%)
8656,Health Restore (Large),Uncommon (10.84%)
8657,Omni Ammo Box,Legendary (0.34%)
8658,North Wind,Legendary (0.34%)
8659,Shocking Touch,Legendary (0.34%)
8660,Molten Impact,Legendary (0.34%)
8661,Stretch,Legendary (0.34%)
8662,,
8663,Event: Phobos/Grildrig (Spy),Event: Phobos/Grildrig (Spy)
8664,Rotation A,Rotation A
8665,"1,500 Credits Cache",Uncommon (14.29%)
8666,"1,500 Credits Cache",Uncommon (14.29%)
8667,100 Endo,Uncommon (14.29%)
8668,100 Endo,Uncommon (14.29%)
8669,Reflection,Uncommon (14.29%)
8670,Reflex Guard,Uncommon (14.29%)
8671,Parry,Uncommon (14.29%)
8672,Rotation B,Rotation B
8673,Lith G6 Relic,Uncommon (14.29%)
8674,Lith H8 Relic,Uncommon (14.29%)
8675,Lith S15 Relic,Uncommon (14.29%)
8676,Lith S14 Relic,Uncommon (14.29%)
8677,Lith B11 Relic,Uncommon (14.29%)
8678,Lith K10 Relic,Uncommon (14.29%)
8679,Lith R3 Relic,Uncommon (14.29%)
8680,Rotation C,Rotation C
8681,Master Key,Uncommon (10.00%)
8682,Reflection,Uncommon (10.00%)
8683,Parry,Uncommon (10.00%)
8684,Heavy Impact,Uncommon (10.00%)
8685,Serration,Uncommon (10.00%)
8686,Hornet Strike,Uncommon (10.00%)
8687,Metal Auger,Uncommon (10.00%)
8688,Volcanic Edge,Uncommon (10.00%)
8689,Vicious Frost,Uncommon (10.00%)
8690,Ivara Systems Blueprint,Uncommon (10.00%)
8691,,
8692,Phobos/Stickney (Survival),Phobos/Stickney (Survival)
8693,Rotation A,Rotation A
8694,"2,000 Credits Cache",Common (50.00%)
8695,100 Endo,Common (50.00%)
8696,Rotation B,Rotation B
8697,Parry,Rare (7.69%)
8698,Steel Fiber,Rare (7.69%)
8699,Serration,Rare (7.69%)
8700,Incendiary Coat,Rare (7.69%)
8701,Hornet Strike,Rare (7.69%)
8702,Intensify,Rare (7.69%)
8703,Lith G6 Relic,Rare (7.69%)
8704,Lith H8 Relic,Rare (7.69%)
8705,Lith S15 Relic,Rare (7.69%)
8706,Lith S14 Relic,Rare (7.69%)
8707,Lith B11 Relic,Rare (7.69%)
8708,Lith K10 Relic,Rare (7.69%)
8709,Lith R3 Relic,Rare (7.69%)
8710,Rotation C,Rotation C
8711,Arrow Mutation,Rare (3.76%)
8712,Rifle Ammo Mutation,Rare (3.76%)
8713,Sniper Ammo Mutation,Rare (3.76%)
8714,Shotgun Ammo Mutation,Rare (3.76%)
8715,Pistol Ammo Mutation,Rare (3.76%)
8716,Cleanse Grineer,Rare (3.76%)
8717,Lith G6 Relic,Uncommon (11.06%)
8718,Lith H8 Relic,Uncommon (11.06%)
8719,Lith S15 Relic,Uncommon (11.06%)
8720,Lith S14 Relic,Uncommon (11.06%)
8721,Lith B11 Relic,Uncommon (11.06%)
8722,Lith K10 Relic,Uncommon (11.06%)
8723,Lith R3 Relic,Uncommon (11.06%)
8724,,
8725,Phobos/Skyresh (Capture),Phobos/Skyresh (Capture)
8726,Vitality,Uncommon (10.84%)
8727,Fast Deflection,Uncommon (10.84%)
8728,Rush,Uncommon (11.06%)
8729,Magazine Warp,Uncommon (10.84%)
8730,Trick Mag,Uncommon (10.84%)
8731,Pressure Point,Legendary (0.34%)
8732,Ammo Drum,Uncommon (11.06%)
8733,Fast Hands,Uncommon (10.84%)
8734,Quickdraw,Uncommon (10.84%)
8735,Health Restore (Large),Uncommon (10.84%)
8736,Omni Ammo Box,Legendary (0.34%)
8737,North Wind,Legendary (0.34%)
8738,Shocking Touch,Legendary (0.34%)
8739,Molten Impact,Legendary (0.34%)
8740,Stretch,Legendary (0.34%)
8741,,
8742,Event: Phobos/Drunlo (Defense),Event: Phobos/Drunlo (Defense)
8743,Rotation A,Rotation A
8744,Magazine Warp,Rare (9.09%)
8745,Trick Mag,Rare (9.09%)
8746,Pressure Point,Rare (9.09%)
8747,Ammo Drum,Rare (9.09%)
8748,Lith G6 Relic,Rare (9.09%)
8749,Lith H8 Relic,Rare (9.09%)
8750,Lith S15 Relic,Rare (9.09%)
8751,Lith S14 Relic,Rare (9.09%)
8752,Lith B11 Relic,Rare (9.09%)
8753,Lith K10 Relic,Rare (9.09%)
8754,Lith R3 Relic,Rare (9.09%)
8755,Rotation B,Rotation B
8756,Reflex Coil,Rare (8.33%)
8757,Cryo Rounds,Rare (8.33%)
8758,Hell's Chamber,Rare (8.33%)
8759,Shocking Touch,Rare (8.33%)
8760,100 Endo,Rare (8.33%)
8761,Meso P11 Relic,Rare (8.33%)
8762,Meso H4 Relic,Rare (8.33%)
8763,Meso N14 Relic,Rare (8.33%)
8764,Meso P10 Relic,Rare (8.33%)
8765,Meso D7 Relic,Rare (8.33%)
8766,Meso K4 Relic,Rare (8.33%)
8767,Meso S12 Relic,Rare (8.33%)
8768,Rotation C,Rotation C
8769,Metal Auger,Rare (8.33%)
8770,Ravage,Rare (8.33%)
8771,Continuity,Rare (8.33%)
8772,Master Thief,Rare (8.33%)
8773,200 Endo,Rare (8.33%)
8774,Meso P11 Relic,Rare (8.33%)
8775,Meso H4 Relic,Rare (8.33%)
8776,Meso N14 Relic,Rare (8.33%)
8777,Meso P10 Relic,Rare (8.33%)
8778,Meso D7 Relic,Rare (8.33%)
8779,Meso K4 Relic,Rare (8.33%)
8780,Meso S12 Relic,Rare (8.33%)
8781,,
8782,Phobos/Monolith (Rescue),Phobos/Monolith (Rescue)
8783,Rotation B,Rotation B
8784,Vapor Specter Blueprint,Very Common (100.00%)
8785,Rotation C,Rotation C
8786,Phase Specter Blueprint,Very Common (100.00%)
8787,,
8788,Phobos/Kepler (Rush),Phobos/Kepler (Rush)
8789,Rotation A,Rotation A
8790,Tempered Blade,Uncommon (16.67%)
8791,Sudden Impact,Uncommon (16.67%)
8792,Poisonous Sting,Uncommon (16.67%)
8793,Glacial Edge,Uncommon (16.67%)
8794,Conductive Blade,Uncommon (16.67%)
8795,Furor,Uncommon (16.67%)
8796,Rotation B,Rotation B
8797,Extend,Rare (3.76%)
8798,Superior Defenses,Rare (3.76%)
8799,Cutting Edge,Rare (3.76%)
8800,System Reroute,Rare (3.76%)
8801,Efficient Transferral,Rare (3.76%)
8802,Blazing Steel,Rare (3.76%)
8803,150 Endo,Very Common (77.44%)
8804,Rotation C,Rotation C
8805,Meteor Crash,Rare (7.52%)
8806,Nebula Bore,Rare (7.52%)
8807,Astral Slash,Rare (7.52%)
8808,400 Endo,Rare (9.68%)
8809,Lith G6 Relic,Rare (9.68%)
8810,Lith H8 Relic,Rare (9.68%)
8811,Lith S15 Relic,Rare (9.68%)
8812,Lith S14 Relic,Rare (9.68%)
8813,Lith B11 Relic,Rare (9.68%)
8814,Lith K10 Relic,Rare (9.68%)
8815,Lith R3 Relic,Rare (9.68%)
8816,,
8817,Phobos/Gulliver (Defense),Phobos/Gulliver (Defense)
8818,Rotation A,Rotation A
8819,Magazine Warp,Rare (9.09%)
8820,Trick Mag,Rare (9.09%)
8821,Pressure Point,Rare (9.09%)
8822,Ammo Drum,Rare (9.09%)
8823,Lith G6 Relic,Rare (9.09%)
8824,Lith H8 Relic,Rare (9.09%)
8825,Lith S15 Relic,Rare (9.09%)
8826,Lith S14 Relic,Rare (9.09%)
8827,Lith B11 Relic,Rare (9.09%)
8828,Lith K10 Relic,Rare (9.09%)
8829,Lith R3 Relic,Rare (9.09%)
8830,Rotation B,Rotation B
8831,Reflex Coil,Rare (8.33%)
8832,Cryo Rounds,Rare (8.33%)
8833,Hell's Chamber,Rare (8.33%)
8834,Shocking Touch,Rare (8.33%)
8835,100 Endo,Rare (8.33%)
8836,Meso P11 Relic,Rare (8.33%)
8837,Meso H4 Relic,Rare (8.33%)
8838,Meso N14 Relic,Rare (8.33%)
8839,Meso P10 Relic,Rare (8.33%)
8840,Meso D7 Relic,Rare (8.33%)
8841,Meso K4 Relic,Rare (8.33%)
8842,Meso S12 Relic,Rare (8.33%)
8843,Rotation C,Rotation C
8844,Metal Auger,Rare (8.33%)
8845,Ravage,Rare (8.33%)
8846,Continuity,Rare (8.33%)
8847,Master Thief,Rare (8.33%)
8848,200 Endo,Rare (8.33%)
8849,Meso P11 Relic,Rare (8.33%)
8850,Meso H4 Relic,Rare (8.33%)
8851,Meso N14 Relic,Rare (8.33%)
8852,Meso P10 Relic,Rare (8.33%)
8853,Meso D7 Relic,Rare (8.33%)
8854,Meso K4 Relic,Rare (8.33%)
8855,Meso S12 Relic,Rare (8.33%)
8856,,
8857,Phobos/Shklovsky (Spy),Phobos/Shklovsky (Spy)
8858,Rotation A,Rotation A
8859,"1,500 Credits Cache",Uncommon (14.29%)
8860,"1,500 Credits Cache",Uncommon (14.29%)
8861,100 Endo,Uncommon (14.29%)
8862,100 Endo,Uncommon (14.29%)
8863,Reflection,Uncommon (14.29%)
8864,Reflex Guard,Uncommon (14.29%)
8865,Parry,Uncommon (14.29%)
8866,Rotation B,Rotation B
8867,Lith G6 Relic,Uncommon (14.29%)
8868,Lith H8 Relic,Uncommon (14.29%)
8869,Lith S15 Relic,Uncommon (14.29%)
8870,Lith S14 Relic,Uncommon (14.29%)
8871,Lith B11 Relic,Uncommon (14.29%)
8872,Lith K10 Relic,Uncommon (14.29%)
8873,Lith R3 Relic,Uncommon (14.29%)
8874,Rotation C,Rotation C
8875,Master Key,Uncommon (10.00%)
8876,Reflection,Uncommon (10.00%)
8877,Parry,Uncommon (10.00%)
8878,Heavy Impact,Uncommon (10.00%)
8879,Serration,Uncommon (10.00%)
8880,Hornet Strike,Uncommon (10.00%)
8881,Metal Auger,Uncommon (10.00%)
8882,Volcanic Edge,Uncommon (10.00%)
8883,Vicious Frost,Uncommon (10.00%)
8884,Ivara Systems Blueprint,Uncommon (10.00%)
8885,,
8886,Event: Phobos/Wendell (Excavation),Event: Phobos/Wendell (Excavation)
8887,Rotation A,Rotation A
8888,"2,000 Credits Cache",Uncommon (14.29%)
8889,"2,000 Credits Cache",Uncommon (14.29%)
8890,"2,000 Credits Cache",Uncommon (14.29%)
8891,"2,000 Credits Cache",Uncommon (14.29%)
8892,100 Endo,Uncommon (14.29%)
8893,100 Endo,Uncommon (14.29%)
8894,100 Endo,Uncommon (14.29%)
8895,Rotation B,Rotation B
8896,Parry,Rare (7.69%)
8897,Steel Fiber,Rare (7.69%)
8898,Serration,Rare (7.69%)
8899,Incendiary Coat,Rare (7.69%)
8900,Hornet Strike,Rare (7.69%)
8901,Intensify,Rare (7.69%)
8902,Lith G6 Relic,Rare (7.69%)
8903,Lith H8 Relic,Rare (7.69%)
8904,Lith S15 Relic,Rare (7.69%)
8905,Lith S14 Relic,Rare (7.69%)
8906,Lith B11 Relic,Rare (7.69%)
8907,Lith K10 Relic,Rare (7.69%)
8908,Lith R3 Relic,Rare (7.69%)
8909,Rotation C,Rotation C
8910,Arrow Mutation,Rare (3.76%)
8911,Rifle Ammo Mutation,Rare (3.76%)
8912,Sniper Ammo Mutation,Rare (3.76%)
8913,Shotgun Ammo Mutation,Rare (3.76%)
8914,Pistol Ammo Mutation,Rare (3.76%)
8915,Cleanse Grineer,Rare (3.76%)
8916,Lith G6 Relic,Uncommon (11.06%)
8917,Lith H8 Relic,Uncommon (11.06%)
8918,Lith S15 Relic,Uncommon (11.06%)
8919,Lith S14 Relic,Uncommon (11.06%)
8920,Lith B11 Relic,Uncommon (11.06%)
8921,Lith K10 Relic,Uncommon (11.06%)
8922,Lith R3 Relic,Uncommon (11.06%)
8923,,
8924,Event: Phobos/Todd (Capture),Event: Phobos/Todd (Capture)
8925,Vitality,Uncommon (10.84%)
8926,Fast Deflection,Uncommon (10.84%)
8927,Rush,Uncommon (11.06%)
8928,Magazine Warp,Uncommon (10.84%)
8929,Trick Mag,Uncommon (10.84%)
8930,Pressure Point,Legendary (0.34%)
8931,Ammo Drum,Uncommon (11.06%)
8932,Fast Hands,Uncommon (10.84%)
8933,Quickdraw,Uncommon (10.84%)
8934,Health Restore (Large),Uncommon (10.84%)
8935,Omni Ammo Box,Legendary (0.34%)
8936,North Wind,Legendary (0.34%)
8937,Shocking Touch,Legendary (0.34%)
8938,Molten Impact,Legendary (0.34%)
8939,Stretch,Legendary (0.34%)
8940,,
8941,Event: Phobos/Flimnap (Survival),Event: Phobos/Flimnap (Survival)
8942,Rotation A,Rotation A
8943,"2,000 Credits Cache",Common (50.00%)
8944,100 Endo,Common (50.00%)
8945,Rotation B,Rotation B
8946,Parry,Rare (7.69%)
8947,Steel Fiber,Rare (7.69%)
8948,Serration,Rare (7.69%)
8949,Incendiary Coat,Rare (7.69%)
8950,Hornet Strike,Rare (7.69%)
8951,Intensify,Rare (7.69%)
8952,Lith G6 Relic,Rare (7.69%)
8953,Lith H8 Relic,Rare (7.69%)
8954,Lith S15 Relic,Rare (7.69%)
8955,Lith S14 Relic,Rare (7.69%)
8956,Lith B11 Relic,Rare (7.69%)
8957,Lith K10 Relic,Rare (7.69%)
8958,Lith R3 Relic,Rare (7.69%)
8959,Rotation C,Rotation C
8960,Arrow Mutation,Rare (3.76%)
8961,Rifle Ammo Mutation,Rare (3.76%)
8962,Sniper Ammo Mutation,Rare (3.76%)
8963,Shotgun Ammo Mutation,Rare (3.76%)
8964,Pistol Ammo Mutation,Rare (3.76%)
8965,Cleanse Grineer,Rare (3.76%)
8966,Lith G6 Relic,Uncommon (11.06%)
8967,Lith H8 Relic,Uncommon (11.06%)
8968,Lith S15 Relic,Uncommon (11.06%)
8969,Lith S14 Relic,Uncommon (11.06%)
8970,Lith B11 Relic,Uncommon (11.06%)
8971,Lith K10 Relic,Uncommon (11.06%)
8972,Lith R3 Relic,Uncommon (11.06%)
8973,,
8974,Phobos/Memphis (Defection),Phobos/Memphis (Defection)
8975,Rotation A,Rotation A
8976,"2,000 Credits Cache",Uncommon (13.92%)
8977,"2,000 Credits Cache",Uncommon (13.92%)
8978,"2,000 Credits Cache",Uncommon (13.92%)
8979,"2,000 Credits Cache",Uncommon (13.92%)
8980,100 Endo,Uncommon (13.92%)
8981,100 Endo,Uncommon (13.92%)
8982,100 Endo,Uncommon (13.92%)
8983,Smite Corrupted,Rare (2.58%)
8984,Rotation B,Rotation B
8985,Harrow Systems Blueprint,Rare (6.00%)
8986,Expel Corrupted,Rare (8.00%)
8987,Cleanse Corrupted,Rare (8.00%)
8988,Bane Of Corrupted,Rare (8.00%)
8989,Lith G6 Relic,Uncommon (10.00%)
8990,Lith H8 Relic,Uncommon (10.00%)
8991,Lith S15 Relic,Uncommon (10.00%)
8992,Lith S14 Relic,Uncommon (10.00%)
8993,Lith B11 Relic,Uncommon (10.00%)
8994,Lith K10 Relic,Uncommon (10.00%)
8995,Lith R3 Relic,Uncommon (10.00%)
8996,Rotation C,Rotation C
8997,Harrow Systems Blueprint,Uncommon (15.00%)
8998,Quickening,Uncommon (15.00%)
8999,Lith G6 Relic,Uncommon (10.00%)
9000,Lith H8 Relic,Uncommon (10.00%)
9001,Lith S15 Relic,Uncommon (10.00%)
9002,Lith S14 Relic,Uncommon (10.00%)
9003,Lith B11 Relic,Uncommon (10.00%)
9004,Lith K10 Relic,Uncommon (10.00%)
9005,Lith R3 Relic,Uncommon (10.00%)
9006,,
9007,Phobos/Iliad (Assassination),Phobos/Iliad (Assassination)
9008,Mag Neuroptics Blueprint,Common (38.72%)
9009,Mag Chassis Blueprint,Common (38.72%)
9010,Mag Systems Blueprint,Uncommon (22.56%)
9011,,
9012,Event: Phobos/Opik (Rush),Event: Phobos/Opik (Rush)
9013,Rotation A,Rotation A
9014,Vitality,Uncommon (15.18%)
9015,Fast Deflection,Uncommon (15.18%)
9016,Fast Deflection,Uncommon (15.18%)
9017,Rush,Rare (2.21%)
9018,Magazine Warp,Uncommon (15.18%)
9019,Trick Mag,Uncommon (15.18%)
9020,Pressure Point,Rare (2.01%)
9021,Ammo Drum,Rare (2.21%)
9022,Fast Hands,Rare (2.21%)
9023,Lith G6 Relic,Rare (2.21%)
9024,Lith H8 Relic,Rare (2.21%)
9025,Lith S15 Relic,Rare (2.21%)
9026,Lith S14 Relic,Rare (2.21%)
9027,Lith B11 Relic,Rare (2.21%)
9028,Lith K10 Relic,Rare (2.21%)
9029,Lith R3 Relic,Rare (2.21%)
9030,Rotation B,Rotation B
9031,Speed Trigger,Rare (8.43%)
9032,Fast Hands,Ultra Rare (1.58%)
9033,Point Strike,Rare (8.43%)
9034,Vital Sense,Rare (8.43%)
9035,Piercing Hit,Ultra Rare (1.58%)
9036,Metal Auger,Ultra Rare (1.58%)
9037,Pistol Gambit,Rare (8.43%)
9038,Target Cracker,Rare (8.43%)
9039,No Return,Rare (8.43%)
9040,Ravage,Rare (8.43%)
9041,Blunderbuss,Rare (8.43%)
9042,Point Blank,Ultra Rare (1.58%)
9043,Serration,Ultra Rare (1.58%)
9044,Hornet Strike,Ultra Rare (1.58%)
9045,Fury,Rare (2.01%)
9046,Reflex Coil,Ultra Rare (1.58%)
9047,Pressure Point,Rare (8.43%)
9048,Meso P11 Relic,Ultra Rare (1.58%)
9049,Meso H4 Relic,Ultra Rare (1.58%)
9050,Meso N14 Relic,Ultra Rare (1.58%)
9051,Meso P10 Relic,Ultra Rare (1.58%)
9052,Meso D7 Relic,Ultra Rare (1.58%)
9053,Meso K4 Relic,Ultra Rare (1.58%)
9054,Meso S12 Relic,Ultra Rare (1.58%)
9055,Rotation C,Rotation C
9056,Convulsion,Rare (8.43%)
9057,Shocking Touch,Rare (8.43%)
9058,Stormbringer,Rare (2.01%)
9059,Split Chamber,Rare (2.01%)
9060,Stretch,Rare (2.01%)
9061,Continuity,Rare (2.01%)
9062,Master Thief,Rare (2.01%)
9063,Meso P11 Relic,Rare (8.43%)
9064,Meso H4 Relic,Rare (8.43%)
9065,Meso N14 Relic,Rare (8.43%)
9066,Meso P10 Relic,Rare (8.43%)
9067,Meso D7 Relic,Rare (8.43%)
9068,Meso K4 Relic,Rare (8.43%)
9069,Meso S12 Relic,Rare (8.43%)
9070,Neo S17 Relic,Rare (2.01%)
9071,Neo L2 Relic,Rare (2.01%)
9072,Neo K5 Relic,Rare (2.01%)
9073,Neo N22 Relic,Rare (2.01%)
9074,Neo C3 Relic,Rare (2.01%)
9075,Neo C2 Relic,Rare (2.01%)
9076,Neo M4 Relic,Rare (2.01%)
9077,,
9078,Phobos/Zeugma (Survival),Phobos/Zeugma (Survival)
9079,Rotation A,Rotation A
9080,"2,500 Credits Cache",Uncommon (16.67%)
9081,"2,500 Credits Cache",Uncommon (16.67%)
9082,"2,500 Credits Cache",Uncommon (16.67%)
9083,100 Endo,Uncommon (16.67%)
9084,100 Endo,Uncommon (16.67%)
9085,100 Endo,Uncommon (16.67%)
9086,Rotation B,Rotation B
9087,Provoked,Rare (7.14%)
9088,Steel Fiber,Rare (7.14%)
9089,Serration,Rare (7.14%)
9090,Hornet Strike,Rare (7.14%)
9091,Fast Deflection,Rare (7.14%)
9092,Charged Shell,Rare (7.14%)
9093,Vital Sense,Rare (7.14%)
9094,Meso P11 Relic,Rare (7.14%)
9095,Meso H4 Relic,Rare (7.14%)
9096,Meso N14 Relic,Rare (7.14%)
9097,Meso P10 Relic,Rare (7.14%)
9098,Meso D7 Relic,Rare (7.14%)
9099,Meso K4 Relic,Rare (7.14%)
9100,Meso S12 Relic,Rare (7.14%)
9101,Rotation C,Rotation C
9102,Quickening,Uncommon (11.28%)
9103,Enduring Strike,Uncommon (11.28%)
9104,Neo S17 Relic,Uncommon (11.06%)
9105,Neo L2 Relic,Uncommon (11.06%)
9106,Neo K5 Relic,Uncommon (11.06%)
9107,Neo N22 Relic,Uncommon (11.06%)
9108,Neo C3 Relic,Uncommon (11.06%)
9109,Neo C2 Relic,Uncommon (11.06%)
9110,Neo M4 Relic,Uncommon (11.06%)
9111,,
9112,Deimos/Hyf (Defense),Deimos/Hyf (Defense)
9113,Rotation A,Rotation A
9114,250 Endo,Uncommon (11.11%)
9115,250 Endo,Uncommon (11.11%)
9116,Lith G6 Relic,Uncommon (11.11%)
9117,Lith H8 Relic,Uncommon (11.11%)
9118,Lith S15 Relic,Uncommon (11.11%)
9119,Lith S14 Relic,Uncommon (11.11%)
9120,Lith B11 Relic,Uncommon (11.11%)
9121,Lith K10 Relic,Uncommon (11.11%)
9122,Lith R3 Relic,Uncommon (11.11%)
9123,Rotation B,Rotation B
9124,250 Endo,Common (38.72%)
9125,250 Endo,Common (38.72%)
9126,Mutalist Alad V Nav Coordinate,Uncommon (22.56%)
9127,Rotation C,Rotation C
9128,Forma Blueprint,Uncommon (22.56%)
9129,Meso P11 Relic,Uncommon (11.06%)
9130,Meso H4 Relic,Uncommon (11.06%)
9131,Meso N14 Relic,Uncommon (11.06%)
9132,Meso P10 Relic,Uncommon (11.06%)
9133,Meso D7 Relic,Uncommon (11.06%)
9134,Meso K4 Relic,Uncommon (11.06%)
9135,Meso S12 Relic,Uncommon (11.06%)
9136,,
9137,Deimos/Formido (Caches),Deimos/Formido (Caches)
9138,Rotation A,Rotation A
9139,"3,000 Credits Cache",Uncommon (14.29%)
9140,"3,000 Credits Cache",Uncommon (14.29%)
9141,200 Endo,Uncommon (14.29%)
9142,200 Endo,Uncommon (14.29%)
9143,1000X Nano Spores,Uncommon (14.29%)
9144,Thief's Wit,Uncommon (14.29%)
9145,3X Mutagen Sample,Uncommon (14.29%)
9146,Rotation B,Rotation B
9147,"5,000 Credits Cache",Uncommon (15.18%)
9148,"5,000 Credits Cache",Uncommon (15.18%)
9149,200 Endo,Uncommon (15.18%)
9150,200 Endo,Uncommon (15.18%)
9151,Neurodes,Uncommon (15.18%)
9152,2X Neurodes,Rare (4.42%)
9153,Mutalist Alad V Nav Coordinate,Rare (2.01%)
9154,Cleanse Infested,Rare (4.42%)
9155,Bane Of Infested,Rare (4.42%)
9156,Smite Infested,Rare (4.42%)
9157,Expel Infested,Rare (4.42%)
9158,Rotation C,Rotation C
9159,Argon Crystal,Uncommon (19.36%)
9160,2X Argon Crystal,Rare (3.76%)
9161,Orokin Cell,Uncommon (19.36%)
9162,2X Orokin Cell,Rare (3.76%)
9163,Neural Sensors,Uncommon (19.36%)
9164,2X Neural Sensors,Rare (3.76%)
9165,400 Endo,Uncommon (19.36%)
9166,400 Endo,Rare (3.76%)
9167,Enemy Sense,Rare (3.76%)
9168,Master Thief,Rare (3.76%)
9169,,
9170,Deimos/Terrorem (Survival),Deimos/Terrorem (Survival)
9171,Rotation A,Rotation A
9172,400 Endo,Uncommon (11.11%)
9173,400 Endo,Uncommon (11.11%)
9174,Lith G6 Relic,Uncommon (11.11%)
9175,Lith H8 Relic,Uncommon (11.11%)
9176,Lith S15 Relic,Uncommon (11.11%)
9177,Lith S14 Relic,Uncommon (11.11%)
9178,Lith B11 Relic,Uncommon (11.11%)
9179,Lith K10 Relic,Uncommon (11.11%)
9180,Lith R3 Relic,Uncommon (11.11%)
9181,Rotation B,Rotation B
9182,Mutalist Alad V Nav Coordinate,Uncommon (12.50%)
9183,Neo S17 Relic,Uncommon (12.50%)
9184,Neo L2 Relic,Uncommon (12.50%)
9185,Neo K5 Relic,Uncommon (12.50%)
9186,Neo N22 Relic,Uncommon (12.50%)
9187,Neo C3 Relic,Uncommon (12.50%)
9188,Neo C2 Relic,Uncommon (12.50%)
9189,Neo M4 Relic,Uncommon (12.50%)
9190,Rotation C,Rotation C
9191,Octavia Neuroptics Blueprint,Uncommon (22.56%)
9192,Axi H6 Relic,Uncommon (11.06%)
9193,Axi A16 Relic,Uncommon (11.06%)
9194,Axi G10 Relic,Uncommon (11.06%)
9195,Axi B6 Relic,Uncommon (11.06%)
9196,Axi K11 Relic,Uncommon (11.06%)
9197,Axi N10 Relic,Uncommon (11.06%)
9198,Axi T10 Relic,Uncommon (11.06%)
9199,,
9200,Deimos/Magnacidium (Assassination),Deimos/Magnacidium (Assassination)
9201,Nekros Chassis Blueprint,Common (33.33%)
9202,Nekros Neuroptics Blueprint,Common (33.33%)
9203,Nekros Systems Blueprint,Common (33.33%)
9204,,
9205,Lua/Plato (Caches),Lua/Plato (Caches)
9206,Rotation A,Rotation A
9207,400 Endo,Uncommon (12.91%)
9208,400 Endo,Uncommon (12.91%)
9209,400 Endo,Uncommon (12.91%)
9210,300X Polymer Bundle,Uncommon (12.91%)
9211,350X Rubedo,Uncommon (12.91%)
9212,300X Plastids,Uncommon (12.91%)
9213,Octavia Systems Blueprint,Uncommon (22.56%)
9214,Rotation B,Rotation B
9215,"2,500 Credits Cache",Uncommon (25.29%)
9216,"3,000 Credits Cache",Uncommon (25.29%)
9217,"4,000 Credits Cache",Uncommon (25.29%)
9218,400 Endo,Uncommon (22.11%)
9219,400 Endo,Ultra Rare (1.01%)
9220,400 Endo,Ultra Rare (1.01%)
9221,Rotation C,Rotation C
9222,600 Endo,Uncommon (10.82%)
9223,Orokin Cell,Uncommon (10.82%)
9224,Gallium,Uncommon (10.82%)
9225,Neurodes,Uncommon (10.82%)
9226,2X Gallium,Uncommon (10.82%)
9227,2X Orokin Cell,Uncommon (10.82%)
9228,2X Neurodes,Uncommon (10.82%)
9229,Tellurium,Uncommon (10.82%)
9230,Argon Crystal,Uncommon (10.82%)
9231,Nitain Extract,Ultra Rare (1.29%)
9232,Xiphos Engines Blueprint,Ultra Rare (1.29%)
9233,,
9234,Lua/Pavlov (Spy),Lua/Pavlov (Spy)
9235,Rotation A,Rotation A
9236,Blood Rush,Uncommon (12.18%)
9237,Hydraulic Crosshairs,Uncommon (12.18%)
9238,Shrapnel Shot,Uncommon (12.18%)
9239,100 Endo,Uncommon (12.18%)
9240,Fast Hands,Uncommon (12.18%)
9241,Point Strike,Uncommon (12.18%)
9242,Piercing Hit,Uncommon (12.18%)
9243,Pistol Gambit,Uncommon (12.18%)
9244,Gnashing Payara,Ultra Rare (1.29%)
9245,Astral Twilight,Ultra Rare (1.29%)
9246,Rotation B,Rotation B
9247,Focused Defense,Rare (7.49%)
9248,Catalyzer Link,Rare (7.49%)
9249,Target Cracker,Rare (7.49%)
