,Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
14397,Cernos Prime Upper Limb,Uncommon (16.67%)
14398,,
14399,Neo N7 Relic (Intact),Neo N7 Relic (Intact)
14400,Nekros Prime Systems Blueprint,Rare (2.00%)
14401,Banshee Prime Blueprint,Uncommon (11.00%)
14402,Valkyr Prime Neuroptics Blueprint,Uncommon (11.00%)
14403,Trinity Prime Neuroptics Blueprint,Uncommon (25.33%)
14404,Euphona Prime Blueprint,Uncommon (25.33%)
14405,Venka Prime Blades,Uncommon (25.33%)
14406,,
14407,Neo N7 Relic (Exceptional),Neo N7 Relic (Exceptional)
14408,Nekros Prime Systems Blueprint,Rare (4.00%)
14409,Banshee Prime Blueprint,Uncommon (13.00%)
14410,Valkyr Prime Neuroptics Blueprint,Uncommon (13.00%)
14411,Trinity Prime Neuroptics Blueprint,Uncommon (23.33%)
14412,Euphona Prime Blueprint,Uncommon (23.33%)
14413,Venka Prime Blades,Uncommon (23.33%)
14414,,
14415,Neo N7 Relic (Flawless),Neo N7 Relic (Flawless)
14416,Nekros Prime Systems Blueprint,Rare (6.00%)
14417,Banshee Prime Blueprint,Uncommon (17.00%)
14418,Valkyr Prime Neuroptics Blueprint,Uncommon (17.00%)
14419,Trinity Prime Neuroptics Blueprint,Uncommon (20.00%)
14420,Euphona Prime Blueprint,Uncommon (20.00%)
14421,Venka Prime Blades,Uncommon (20.00%)
14422,,
14423,Neo N7 Relic (Radiant),Neo N7 Relic (Radiant)
14424,Nekros Prime Systems Blueprint,Uncommon (10.00%)
14425,Banshee Prime Blueprint,Uncommon (20.00%)
14426,Valkyr Prime Neuroptics Blueprint,Uncommon (20.00%)
14427,Trinity Prime Neuroptics Blueprint,Uncommon (16.67%)
14428,Euphona Prime Blueprint,Uncommon (16.67%)
14429,Venka Prime Blades,Uncommon (16.67%)
14430,,
14431,Neo N8 Relic (Intact),Neo N8 Relic (Intact)
14432,Nami Skyla Prime Blade,Rare (2.00%)
14433,Akbolto Prime Link,Uncommon (11.00%)
14434,Forma Blueprint,Uncommon (11.00%)
14435,Paris Prime String,Uncommon (25.33%)
14436,Hydroid Prime Chassis Blueprint,Uncommon (25.33%)
14437,Sybaris Prime Blueprint,Uncommon (25.33%)
14438,,
14439,Neo N8 Relic (Exceptional),Neo N8 Relic (Exceptional)
14440,Nami Skyla Prime Blade,Rare (4.00%)
14441,Akbolto Prime Link,Uncommon (13.00%)
14442,Forma Blueprint,Uncommon (13.00%)
14443,Paris Prime String,Uncommon (23.33%)
14444,Hydroid Prime Chassis Blueprint,Uncommon (23.33%)
14445,Sybaris Prime Blueprint,Uncommon (23.33%)
14446,,
14447,Neo N8 Relic (Flawless),Neo N8 Relic (Flawless)
14448,Nami Skyla Prime Blade,Rare (6.00%)
14449,Akbolto Prime Link,Uncommon (17.00%)
14450,Forma Blueprint,Uncommon (17.00%)
14451,Paris Prime String,Uncommon (20.00%)
14452,Hydroid Prime Chassis Blueprint,Uncommon (20.00%)
14453,Sybaris Prime Blueprint,Uncommon (20.00%)
14454,,
14455,Neo N8 Relic (Radiant),Neo N8 Relic (Radiant)
14456,Nami Skyla Prime Blade,Uncommon (10.00%)
14457,Akbolto Prime Link,Uncommon (20.00%)
14458,Forma Blueprint,Uncommon (20.00%)
14459,Paris Prime String,Uncommon (16.67%)
14460,Hydroid Prime Chassis Blueprint,Uncommon (16.67%)
14461,Sybaris Prime Blueprint,Uncommon (16.67%)
14462,,
14463,Neo N9 Relic (Intact),Neo N9 Relic (Intact)
14464,Nova Prime Chassis Blueprint,Rare (2.00%)
14465,Soma Prime Receiver,Uncommon (11.00%)
14466,Forma Blueprint,Uncommon (11.00%)
14467,Mag Prime Neuroptics Blueprint,Uncommon (25.33%)
14468,Boar Prime Blueprint,Uncommon (25.33%)
14469,Dakra Prime Handle,Uncommon (25.33%)
14470,,
14471,Neo N9 Relic (Exceptional),Neo N9 Relic (Exceptional)
14472,Nova Prime Chassis Blueprint,Rare (4.00%)
14473,Soma Prime Receiver,Uncommon (13.00%)
14474,Forma Blueprint,Uncommon (13.00%)
14475,Mag Prime Neuroptics Blueprint,Uncommon (23.33%)
14476,Boar Prime Blueprint,Uncommon (23.33%)
14477,Dakra Prime Handle,Uncommon (23.33%)
14478,,
14479,Neo N9 Relic (Flawless),Neo N9 Relic (Flawless)
14480,Nova Prime Chassis Blueprint,Rare (6.00%)
14481,Soma Prime Receiver,Uncommon (17.00%)
14482,Forma Blueprint,Uncommon (17.00%)
14483,Mag Prime Neuroptics Blueprint,Uncommon (20.00%)
14484,Boar Prime Blueprint,Uncommon (20.00%)
14485,Dakra Prime Handle,Uncommon (20.00%)
14486,,
14487,Neo N9 Relic (Radiant),Neo N9 Relic (Radiant)
14488,Nova Prime Chassis Blueprint,Uncommon (10.00%)
14489,Soma Prime Receiver,Uncommon (20.00%)
14490,Forma Blueprint,Uncommon (20.00%)
14491,Mag Prime Neuroptics Blueprint,Uncommon (16.67%)
14492,Boar Prime Blueprint,Uncommon (16.67%)
14493,Dakra Prime Handle,Uncommon (16.67%)
14494,,
14495,Neo O1 Relic (Intact),Neo O1 Relic (Intact)
14496,Odonata Prime Wings Blueprint,Rare (2.00%)
14497,Aklex Prime Blueprint,Uncommon (11.00%)
14498,Volt Prime Systems Blueprint,Uncommon (11.00%)
14499,Volt Prime Blueprint,Uncommon (25.33%)
14500,Forma Blueprint,Uncommon (25.33%)
14501,Odonata Prime Harness Blueprint,Uncommon (25.33%)
14502,,
14503,Neo O1 Relic (Exceptional),Neo O1 Relic (Exceptional)
14504,Odonata Prime Wings Blueprint,Rare (4.00%)
14505,Aklex Prime Blueprint,Uncommon (13.00%)
14506,Volt Prime Systems Blueprint,Uncommon (13.00%)
14507,Volt Prime Blueprint,Uncommon (23.33%)
14508,Forma Blueprint,Uncommon (23.33%)
14509,Odonata Prime Harness Blueprint,Uncommon (23.33%)
14510,,
14511,Neo O1 Relic (Flawless),Neo O1 Relic (Flawless)
14512,Odonata Prime Wings Blueprint,Rare (6.00%)
14513,Aklex Prime Blueprint,Uncommon (17.00%)
14514,Volt Prime Systems Blueprint,Uncommon (17.00%)
14515,Volt Prime Blueprint,Uncommon (20.00%)
14516,Forma Blueprint,Uncommon (20.00%)
14517,Odonata Prime Harness Blueprint,Uncommon (20.00%)
14518,,
14519,Neo O1 Relic (Radiant),Neo O1 Relic (Radiant)
14520,Odonata Prime Wings Blueprint,Uncommon (10.00%)
14521,Aklex Prime Blueprint,Uncommon (20.00%)
14522,Volt Prime Systems Blueprint,Uncommon (20.00%)
14523,Volt Prime Blueprint,Uncommon (16.67%)
14524,Forma Blueprint,Uncommon (16.67%)
14525,Odonata Prime Harness Blueprint,Uncommon (16.67%)
14526,,
14527,Neo P1 Relic (Intact),Neo P1 Relic (Intact)
14528,Pangolin Prime Blueprint,Rare (2.00%)
14529,Akjagara Prime Receiver,Uncommon (11.00%)
14530,Rubico Prime Stock,Uncommon (11.00%)
14531,Ninkondi Prime Blueprint,Uncommon (25.33%)
14532,Paris Prime Lower Limb,Uncommon (25.33%)
14533,Redeemer Prime Blade,Uncommon (25.33%)
14534,,
14535,Neo P1 Relic (Exceptional),Neo P1 Relic (Exceptional)
14536,Pangolin Prime Blueprint,Rare (4.00%)
14537,Akjagara Prime Receiver,Uncommon (13.00%)
14538,Rubico Prime Stock,Uncommon (13.00%)
14539,Ninkondi Prime Blueprint,Uncommon (23.33%)
14540,Paris Prime Lower Limb,Uncommon (23.33%)
14541,Redeemer Prime Blade,Uncommon (23.33%)
14542,,
14543,Neo P1 Relic (Flawless),Neo P1 Relic (Flawless)
14544,Pangolin Prime Blueprint,Rare (6.00%)
14545,Akjagara Prime Receiver,Uncommon (17.00%)
14546,Rubico Prime Stock,Uncommon (17.00%)
14547,Ninkondi Prime Blueprint,Uncommon (20.00%)
14548,Paris Prime Lower Limb,Uncommon (20.00%)
14549,Redeemer Prime Blade,Uncommon (20.00%)
14550,,
14551,Neo P1 Relic (Radiant),Neo P1 Relic (Radiant)
14552,Pangolin Prime Blueprint,Uncommon (10.00%)
14553,Akjagara Prime Receiver,Uncommon (20.00%)
14554,Rubico Prime Stock,Uncommon (20.00%)
14555,Ninkondi Prime Blueprint,Uncommon (16.67%)
14556,Paris Prime Lower Limb,Uncommon (16.67%)
14557,Redeemer Prime Blade,Uncommon (16.67%)
14558,,
14559,Neo P2 Relic (Intact),Neo P2 Relic (Intact)
14560,Pandero Prime Receiver,Rare (2.00%)
14561,Forma Blueprint,Uncommon (11.00%)
14562,Titania Prime Blueprint,Uncommon (11.00%)
14563,Aksomati Prime Receiver,Uncommon (25.33%)
14564,Braton Prime Stock,Uncommon (25.33%)
14565,Guandao Prime Blade,Uncommon (25.33%)
14566,,
14567,Neo P2 Relic (Exceptional),Neo P2 Relic (Exceptional)
14568,Pandero Prime Receiver,Rare (4.00%)
14569,Forma Blueprint,Uncommon (13.00%)
14570,Titania Prime Blueprint,Uncommon (13.00%)
14571,Aksomati Prime Receiver,Uncommon (23.33%)
14572,Braton Prime Stock,Uncommon (23.33%)
14573,Guandao Prime Blade,Uncommon (23.33%)
14574,,
14575,Neo P2 Relic (Flawless),Neo P2 Relic (Flawless)
14576,Pandero Prime Receiver,Rare (6.00%)
14577,Forma Blueprint,Uncommon (17.00%)
14578,Titania Prime Blueprint,Uncommon (17.00%)
14579,Aksomati Prime Receiver,Uncommon (20.00%)
14580,Braton Prime Stock,Uncommon (20.00%)
14581,Guandao Prime Blade,Uncommon (20.00%)
14582,,
14583,Neo P2 Relic (Radiant),Neo P2 Relic (Radiant)
14584,Pandero Prime Receiver,Uncommon (10.00%)
14585,Forma Blueprint,Uncommon (20.00%)
14586,Titania Prime Blueprint,Uncommon (20.00%)
14587,Aksomati Prime Receiver,Uncommon (16.67%)
14588,Braton Prime Stock,Uncommon (16.67%)
14589,Guandao Prime Blade,Uncommon (16.67%)
14590,,
14591,Neo P3 Relic (Intact),Neo P3 Relic (Intact)
14592,Pangolin Prime Blueprint,Rare (2.00%)
14593,Astilla Prime Stock,Uncommon (11.00%)
14594,Inaros Prime Chassis Blueprint,Uncommon (11.00%)
14595,Lex Prime Blueprint,Uncommon (25.33%)
14596,Panthera Prime Blueprint,Uncommon (25.33%)
14597,Orthos Prime Handle,Uncommon (25.33%)
14598,,
14599,Neo P3 Relic (Exceptional),Neo P3 Relic (Exceptional)
14600,Pangolin Prime Blueprint,Rare (4.00%)
14601,Astilla Prime Stock,Uncommon (13.00%)
14602,Inaros Prime Chassis Blueprint,Uncommon (13.00%)
14603,Lex Prime Blueprint,Uncommon (23.33%)
14604,Panthera Prime Blueprint,Uncommon (23.33%)
14605,Orthos Prime Handle,Uncommon (23.33%)
14606,,
14607,Neo P3 Relic (Flawless),Neo P3 Relic (Flawless)
14608,Pangolin Prime Blueprint,Rare (6.00%)
14609,Astilla Prime Stock,Uncommon (17.00%)
14610,Inaros Prime Chassis Blueprint,Uncommon (17.00%)
14611,Lex Prime Blueprint,Uncommon (20.00%)
14612,Panthera Prime Blueprint,Uncommon (20.00%)
14613,Orthos Prime Handle,Uncommon (20.00%)
14614,,
14615,Neo P3 Relic (Radiant),Neo P3 Relic (Radiant)
14616,Pangolin Prime Blueprint,Uncommon (10.00%)
14617,Astilla Prime Stock,Uncommon (20.00%)
14618,Inaros Prime Chassis Blueprint,Uncommon (20.00%)
14619,Lex Prime Blueprint,Uncommon (16.67%)
14620,Panthera Prime Blueprint,Uncommon (16.67%)
14621,Orthos Prime Handle,Uncommon (16.67%)
14622,,
14623,Neo P4 Relic (Intact),Neo P4 Relic (Intact)
14624,Pandero Prime Receiver,Rare (2.00%)
14625,Forma Blueprint,Uncommon (11.00%)
14626,Braton Prime Receiver,Uncommon (11.00%)
14627,Karyst Prime Blueprint,Uncommon (25.33%)
14628,Zakti Prime Receiver,Uncommon (25.33%)
14629,Paris Prime Upper Limb,Uncommon (25.33%)
14630,,
14631,Neo P4 Relic (Exceptional),Neo P4 Relic (Exceptional)
14632,Pandero Prime Receiver,Rare (4.00%)
14633,Forma Blueprint,Uncommon (13.00%)
14634,Braton Prime Receiver,Uncommon (13.00%)
14635,Karyst Prime Blueprint,Uncommon (23.33%)
14636,Zakti Prime Receiver,Uncommon (23.33%)
14637,Paris Prime Upper Limb,Uncommon (23.33%)
14638,,
14639,Neo P4 Relic (Flawless),Neo P4 Relic (Flawless)
14640,Pandero Prime Receiver,Rare (6.00%)
14641,Forma Blueprint,Uncommon (17.00%)
14642,Braton Prime Receiver,Uncommon (17.00%)
14643,Karyst Prime Blueprint,Uncommon (20.00%)
14644,Zakti Prime Receiver,Uncommon (20.00%)
14645,Paris Prime Upper Limb,Uncommon (20.00%)
14646,,
14647,Neo P4 Relic (Radiant),Neo P4 Relic (Radiant)
14648,Pandero Prime Receiver,Uncommon (10.00%)
14649,Forma Blueprint,Uncommon (20.00%)
14650,Braton Prime Receiver,Uncommon (20.00%)
14651,Karyst Prime Blueprint,Uncommon (16.67%)
14652,Zakti Prime Receiver,Uncommon (16.67%)
14653,Paris Prime Upper Limb,Uncommon (16.67%)
14654,,
14655,Neo R1 Relic (Intact),Neo R1 Relic (Intact)
14656,Rhino Prime Blueprint,Rare (2.00%)
14657,Boltor Prime Receiver,Uncommon (11.00%)
14658,Nyx Prime Chassis Blueprint,Uncommon (11.00%)
14659,Hikou Prime Blueprint,Uncommon (25.33%)
14660,Ankyros Prime Gauntlet,Uncommon (25.33%)
14661,Forma Blueprint,Uncommon (25.33%)
14662,,
14663,Neo R1 Relic (Exceptional),Neo R1 Relic (Exceptional)
14664,Rhino Prime Blueprint,Rare (4.00%)
14665,Boltor Prime Receiver,Uncommon (13.00%)
14666,Nyx Prime Chassis Blueprint,Uncommon (13.00%)
14667,Hikou Prime Blueprint,Uncommon (23.33%)
14668,Ankyros Prime Gauntlet,Uncommon (23.33%)
14669,Forma Blueprint,Uncommon (23.33%)
14670,,
14671,Neo R1 Relic (Flawless),Neo R1 Relic (Flawless)
14672,Rhino Prime Blueprint,Rare (6.00%)
14673,Boltor Prime Receiver,Uncommon (17.00%)
14674,Nyx Prime Chassis Blueprint,Uncommon (17.00%)
14675,Hikou Prime Blueprint,Uncommon (20.00%)
14676,Ankyros Prime Gauntlet,Uncommon (20.00%)
14677,Forma Blueprint,Uncommon (20.00%)
14678,,
14679,Neo R1 Relic (Radiant),Neo R1 Relic (Radiant)
14680,Rhino Prime Blueprint,Uncommon (10.00%)
14681,Boltor Prime Receiver,Uncommon (20.00%)
14682,Nyx Prime Chassis Blueprint,Uncommon (20.00%)
14683,Hikou Prime Blueprint,Uncommon (16.67%)
14684,Ankyros Prime Gauntlet,Uncommon (16.67%)
14685,Forma Blueprint,Uncommon (16.67%)
14686,,
14687,Neo R2 Relic (Intact),Neo R2 Relic (Intact)
14688,Rubico Prime Blueprint,Rare (2.00%)
14689,Paris Prime Grip,Uncommon (11.00%)
14690,Tiberon Prime Blueprint,Uncommon (11.00%)
14691,Ninkondi Prime Blueprint,Uncommon (25.33%)
14692,Braton Prime Stock,Uncommon (25.33%)
14693,Forma Blueprint,Uncommon (25.33%)
14694,,
14695,Neo R2 Relic (Exceptional),Neo R2 Relic (Exceptional)
14696,Rubico Prime Blueprint,Rare (4.00%)
14697,Paris Prime Grip,Uncommon (13.00%)
14698,Tiberon Prime Blueprint,Uncommon (13.00%)
14699,Ninkondi Prime Blueprint,Uncommon (23.33%)
14700,Braton Prime Stock,Uncommon (23.33%)
14701,Forma Blueprint,Uncommon (23.33%)
14702,,
14703,Neo R2 Relic (Flawless),Neo R2 Relic (Flawless)
14704,Rubico Prime Blueprint,Rare (6.00%)
14705,Paris Prime Grip,Uncommon (17.00%)
14706,Tiberon Prime Blueprint,Uncommon (17.00%)
14707,Ninkondi Prime Blueprint,Uncommon (20.00%)
14708,Braton Prime Stock,Uncommon (20.00%)
14709,Forma Blueprint,Uncommon (20.00%)
14710,,
14711,Neo R2 Relic (Radiant),Neo R2 Relic (Radiant)
14712,Rubico Prime Blueprint,Uncommon (10.00%)
14713,Paris Prime Grip,Uncommon (20.00%)
14714,Tiberon Prime Blueprint,Uncommon (20.00%)
14715,Ninkondi Prime Blueprint,Uncommon (16.67%)
14716,Braton Prime Stock,Uncommon (16.67%)
14717,Forma Blueprint,Uncommon (16.67%)
14718,,
14719,Neo R3 Relic (Intact),Neo R3 Relic (Intact)
14720,Redeemer Prime Handle,Rare (2.00%)
14721,Paris Prime Grip,Uncommon (11.00%)
14722,Ninkondi Prime Chain,Uncommon (11.00%)
14723,Baza Prime Receiver,Uncommon (25.33%)
14724,Limbo Prime Systems Blueprint,Uncommon (25.33%)
14725,Burston Prime Blueprint,Uncommon (25.33%)
14726,,
14727,Neo R3 Relic (Exceptional),Neo R3 Relic (Exceptional)
14728,Redeemer Prime Handle,Rare (4.00%)
14729,Paris Prime Grip,Uncommon (13.00%)
14730,Ninkondi Prime Chain,Uncommon (13.00%)
14731,Baza Prime Receiver,Uncommon (23.33%)
14732,Limbo Prime Systems Blueprint,Uncommon (23.33%)
14733,Burston Prime Blueprint,Uncommon (23.33%)
14734,,
14735,Neo R3 Relic (Flawless),Neo R3 Relic (Flawless)
14736,Redeemer Prime Handle,Rare (6.00%)
14737,Paris Prime Grip,Uncommon (17.00%)
14738,Ninkondi Prime Chain,Uncommon (17.00%)
14739,Baza Prime Receiver,Uncommon (20.00%)
14740,Limbo Prime Systems Blueprint,Uncommon (20.00%)
14741,Burston Prime Blueprint,Uncommon (20.00%)
14742,,
14743,Neo R3 Relic (Radiant),Neo R3 Relic (Radiant)
14744,Redeemer Prime Handle,Uncommon (10.00%)
14745,Paris Prime Grip,Uncommon (20.00%)
14746,Ninkondi Prime Chain,Uncommon (20.00%)
14747,Baza Prime Receiver,Uncommon (16.67%)
14748,Limbo Prime Systems Blueprint,Uncommon (16.67%)
14749,Burston Prime Blueprint,Uncommon (16.67%)
14750,,
14751,Neo R4 Relic (Intact),Neo R4 Relic (Intact)
14752,Redeemer Prime Handle,Rare (2.00%)
14753,Corinth Prime Receiver,Uncommon (11.00%)
14754,Ninkondi Prime Chain,Uncommon (11.00%)
14755,Aksomati Prime Blueprint,Uncommon (25.33%)
14756,Braton Prime Stock,Uncommon (25.33%)
14757,Mesa Prime Chassis Blueprint,Uncommon (25.33%)
14758,,
14759,Neo R4 Relic (Exceptional),Neo R4 Relic (Exceptional)
14760,Redeemer Prime Handle,Rare (4.00%)
14761,Corinth Prime Receiver,Uncommon (13.00%)
14762,Ninkondi Prime Chain,Uncommon (13.00%)
14763,Aksomati Prime Blueprint,Uncommon (23.33%)
14764,Braton Prime Stock,Uncommon (23.33%)
14765,Mesa Prime Chassis Blueprint,Uncommon (23.33%)
14766,,
14767,Neo R4 Relic (Flawless),Neo R4 Relic (Flawless)
14768,Redeemer Prime Handle,Rare (6.00%)
14769,Corinth Prime Receiver,Uncommon (17.00%)
14770,Ninkondi Prime Chain,Uncommon (17.00%)
14771,Aksomati Prime Blueprint,Uncommon (20.00%)
14772,Braton Prime Stock,Uncommon (20.00%)
14773,Mesa Prime Chassis Blueprint,Uncommon (20.00%)
14774,,
14775,Neo R4 Relic (Radiant),Neo R4 Relic (Radiant)
14776,Redeemer Prime Handle,Uncommon (10.00%)
14777,Corinth Prime Receiver,Uncommon (20.00%)
14778,Ninkondi Prime Chain,Uncommon (20.00%)
14779,Aksomati Prime Blueprint,Uncommon (16.67%)
14780,Braton Prime Stock,Uncommon (16.67%)
14781,Mesa Prime Chassis Blueprint,Uncommon (16.67%)
14782,,
14783,Neo R5 Relic (Intact),Neo R5 Relic (Intact)
14784,Redeemer Prime Handle,Rare (2.00%)
14785,Akjagara Prime Link,Uncommon (11.00%)
14786,Fang Prime Handle,Uncommon (11.00%)
14787,Limbo Prime Systems Blueprint,Uncommon (25.33%)
14788,Vasto Prime Receiver,Uncommon (25.33%)
14789,Forma Blueprint,Uncommon (25.33%)
14790,,
14791,Neo R5 Relic (Exceptional),Neo R5 Relic (Exceptional)
14792,Redeemer Prime Handle,Rare (4.00%)
14793,Akjagara Prime Link,Uncommon (13.00%)
14794,Fang Prime Handle,Uncommon (13.00%)
14795,Limbo Prime Systems Blueprint,Uncommon (23.33%)
14796,Vasto Prime Receiver,Uncommon (23.33%)
14797,Forma Blueprint,Uncommon (23.33%)
14798,,
14799,Neo R5 Relic (Flawless),Neo R5 Relic (Flawless)
14800,Redeemer Prime Handle,Rare (6.00%)
14801,Akjagara Prime Link,Uncommon (17.00%)
14802,Fang Prime Handle,Uncommon (17.00%)
14803,Limbo Prime Systems Blueprint,Uncommon (20.00%)
14804,Vasto Prime Receiver,Uncommon (20.00%)
14805,Forma Blueprint,Uncommon (20.00%)
14806,,
14807,Neo R5 Relic (Radiant),Neo R5 Relic (Radiant)
14808,Redeemer Prime Handle,Uncommon (10.00%)
14809,Akjagara Prime Link,Uncommon (20.00%)
14810,Fang Prime Handle,Uncommon (20.00%)
14811,Limbo Prime Systems Blueprint,Uncommon (16.67%)
14812,Vasto Prime Receiver,Uncommon (16.67%)
14813,Forma Blueprint,Uncommon (16.67%)
14814,,
14815,Neo S1 Relic (Intact),Neo S1 Relic (Intact)
14816,Saryn Prime Blueprint,Rare (2.00%)
14817,Trinity Prime Chassis Blueprint,Uncommon (11.00%)
14818,Forma Blueprint,Uncommon (11.00%)
14819,Carrier Prime Carapace,Uncommon (25.33%)
14820,Lex Prime Barrel,Uncommon (25.33%)
14821,Soma Prime Blueprint,Uncommon (25.33%)
14822,,
14823,Neo S1 Relic (Exceptional),Neo S1 Relic (Exceptional)
14824,Saryn Prime Blueprint,Rare (4.00%)
14825,Trinity Prime Chassis Blueprint,Uncommon (13.00%)
14826,Forma Blueprint,Uncommon (13.00%)
14827,Carrier Prime Carapace,Uncommon (23.33%)
14828,Lex Prime Barrel,Uncommon (23.33%)
14829,Soma Prime Blueprint,Uncommon (23.33%)
14830,,
14831,Neo S1 Relic (Flawless),Neo S1 Relic (Flawless)
14832,Saryn Prime Blueprint,Rare (6.00%)
14833,Trinity Prime Chassis Blueprint,Uncommon (17.00%)
14834,Forma Blueprint,Uncommon (17.00%)
14835,Carrier Prime Carapace,Uncommon (20.00%)
14836,Lex Prime Barrel,Uncommon (20.00%)
14837,Soma Prime Blueprint,Uncommon (20.00%)
14838,,
14839,Neo S1 Relic (Radiant),Neo S1 Relic (Radiant)
14840,Saryn Prime Blueprint,Uncommon (10.00%)
14841,Trinity Prime Chassis Blueprint,Uncommon (20.00%)
14842,Forma Blueprint,Uncommon (20.00%)
14843,Carrier Prime Carapace,Uncommon (16.67%)
14844,Lex Prime Barrel,Uncommon (16.67%)
14845,Soma Prime Blueprint,Uncommon (16.67%)
14846,,
14847,Neo S10 Relic (Intact),Neo S10 Relic (Intact)
14848,Saryn Prime Chassis Blueprint,Rare (2.00%)
14849,Nikana Prime Blade,Uncommon (11.00%)
14850,Spira Prime Blade,Uncommon (11.00%)
14851,Saryn Prime Systems Blueprint,Uncommon (25.33%)
14852,Braton Prime Stock,Uncommon (25.33%)
14853,Lex Prime Blueprint,Uncommon (25.33%)
14854,,
14855,Neo S10 Relic (Exceptional),Neo S10 Relic (Exceptional)
14856,Saryn Prime Chassis Blueprint,Rare (4.00%)
14857,Nikana Prime Blade,Uncommon (13.00%)
14858,Spira Prime Blade,Uncommon (13.00%)
14859,Saryn Prime Systems Blueprint,Uncommon (23.33%)
14860,Braton Prime Stock,Uncommon (23.33%)
14861,Lex Prime Blueprint,Uncommon (23.33%)
14862,,
14863,Neo S10 Relic (Flawless),Neo S10 Relic (Flawless)
14864,Saryn Prime Chassis Blueprint,Rare (6.00%)
14865,Nikana Prime Blade,Uncommon (17.00%)
14866,Spira Prime Blade,Uncommon (17.00%)
14867,Saryn Prime Systems Blueprint,Uncommon (20.00%)
14868,Braton Prime Stock,Uncommon (20.00%)
14869,Lex Prime Blueprint,Uncommon (20.00%)
14870,,
14871,Neo S10 Relic (Radiant),Neo S10 Relic (Radiant)
14872,Saryn Prime Chassis Blueprint,Uncommon (10.00%)
14873,Nikana Prime Blade,Uncommon (20.00%)
14874,Spira Prime Blade,Uncommon (20.00%)
14875,Saryn Prime Systems Blueprint,Uncommon (16.67%)
14876,Braton Prime Stock,Uncommon (16.67%)
14877,Lex Prime Blueprint,Uncommon (16.67%)
14878,,
14879,Neo S11 Relic (Intact),Neo S11 Relic (Intact)
14880,Stradavar Prime Blueprint,Rare (2.00%)
14881,Kronen Prime Handle,Uncommon (11.00%)
14882,Forma Blueprint,Uncommon (11.00%)
14883,Fang Prime Blade,Uncommon (25.33%)
14884,Bronco Prime Receiver,Uncommon (25.33%)
14885,Hydroid Prime Chassis Blueprint,Uncommon (25.33%)
14886,,
14887,Neo S11 Relic (Exceptional),Neo S11 Relic (Exceptional)
14888,Stradavar Prime Blueprint,Rare (4.00%)
14889,Kronen Prime Handle,Uncommon (13.00%)
14890,Forma Blueprint,Uncommon (13.00%)
14891,Fang Prime Blade,Uncommon (23.33%)
14892,Bronco Prime Receiver,Uncommon (23.33%)
14893,Hydroid Prime Chassis Blueprint,Uncommon (23.33%)
14894,,
14895,Neo S11 Relic (Flawless),Neo S11 Relic (Flawless)
14896,Stradavar Prime Blueprint,Rare (6.00%)
14897,Kronen Prime Handle,Uncommon (17.00%)
14898,Forma Blueprint,Uncommon (17.00%)
14899,Fang Prime Blade,Uncommon (20.00%)
14900,Bronco Prime Receiver,Uncommon (20.00%)
14901,Hydroid Prime Chassis Blueprint,Uncommon (20.00%)
14902,,
14903,Neo S11 Relic (Radiant),Neo S11 Relic (Radiant)
14904,Stradavar Prime Blueprint,Uncommon (10.00%)
14905,Kronen Prime Handle,Uncommon (20.00%)
14906,Forma Blueprint,Uncommon (20.00%)
14907,Fang Prime Blade,Uncommon (16.67%)
14908,Bronco Prime Receiver,Uncommon (16.67%)
14909,Hydroid Prime Chassis Blueprint,Uncommon (16.67%)
14910,,
14911,Neo S12 Relic (Intact),Neo S12 Relic (Intact)
14912,Stradavar Prime Blueprint,Rare (2.00%)
14913,Wukong Prime Chassis Blueprint,Uncommon (11.00%)
14914,Mirage Prime Systems Blueprint,Uncommon (11.00%)
14915,Fang Prime Blade,Uncommon (25.33%)
14916,Redeemer Prime Blade,Uncommon (25.33%)
14917,Paris Prime Upper Limb,Uncommon (25.33%)
14918,,
14919,Neo S12 Relic (Exceptional),Neo S12 Relic (Exceptional)
14920,Stradavar Prime Blueprint,Rare (4.00%)
14921,Wukong Prime Chassis Blueprint,Uncommon (13.00%)
14922,Mirage Prime Systems Blueprint,Uncommon (13.00%)
14923,Fang Prime Blade,Uncommon (23.33%)
14924,Redeemer Prime Blade,Uncommon (23.33%)
14925,Paris Prime Upper Limb,Uncommon (23.33%)
14926,,
14927,Neo S12 Relic (Flawless),Neo S12 Relic (Flawless)
14928,Stradavar Prime Blueprint,Rare (6.00%)
14929,Wukong Prime Chassis Blueprint,Uncommon (17.00%)
14930,Mirage Prime Systems Blueprint,Uncommon (17.00%)
14931,Fang Prime Blade,Uncommon (20.00%)
14932,Redeemer Prime Blade,Uncommon (20.00%)
14933,Paris Prime Upper Limb,Uncommon (20.00%)
14934,,
14935,Neo S12 Relic (Radiant),Neo S12 Relic (Radiant)
14936,Stradavar Prime Blueprint,Uncommon (10.00%)
14937,Wukong Prime Chassis Blueprint,Uncommon (20.00%)
14938,Mirage Prime Systems Blueprint,Uncommon (20.00%)
14939,Fang Prime Blade,Uncommon (16.67%)
14940,Redeemer Prime Blade,Uncommon (16.67%)
14941,Paris Prime Upper Limb,Uncommon (16.67%)
14942,,
14943,Neo S13 Relic (Intact),Neo S13 Relic (Intact)
14944,Saryn Prime Chassis Blueprint,Rare (2.00%)
